respondent_id,xyz_vaccine,seasonal_vaccine
29618,0.14,0.27
29619,0.49,0.62
29620,0.51,0.68
29621,0.23,0.48
29622,0.16,0.26
29623,0.45,0.7
29624,0.21,0.27
29625,0.4,0.36
29626,0.15,0.36
29627,0.19,0.5
29628,0.22,0.5
29629,0.18,0.81
29630,0.11,0.48
29631,0.25,0.17
29632,0.34,0.73
29633,0.22,0.42
29634,0.73,0.8
29635,0.11,0.16
29636,0.09,0.5
29637,0.39,0.64
29638,0.29,0.71
29639,0.45,0.59
29640,0.28,0.23
29641,0.21,0.6
29642,0.58,0.79
29643,0.45,0.54
29644,0.55,0.5
29645,0.42,0.71
29646,0.3,0.3
29647,0.76,0.89
29648,0.44,0.78
29649,0.18,0.35
29650,0.27,0.76
29651,0.18,0.6
29652,0.16,0.27
29653,0.32,0.66
29654,0.12,0.28
29655,0.29,0.65
29656,0.25,0.25
29657,0.25,0.7
29658,0.17,0.31
29659,0.04,0.09
29660,0.07,0.08
29661,0.11,0.1
29662,0.64,0.83
29663,0.29,0.67
29664,0.06,0.07
29665,0.13,0.19
29666,0.15,0.08
29667,0.17,0.75
29668,0.26,0.53
29669,0.29,0.17
29670,0.22,0.18
29671,0.11,0.11
29672,0.18,0.19
29673,0.38,0.56
29674,0.4,0.49
29675,0.49,0.73
29676,0.17,0.47
29677,0.52,0.84
29678,0.23,0.46
29679,0.17,0.14
29680,0.44,0.7
29681,0.18,0.74
29682,0.13,0.32
29683,0.27,0.33
29684,0.24,0.62
29685,0.62,0.49
29686,0.24,0.6
29687,0.4,0.42
29688,0.34,0.57
29689,0.15,0.1
29690,0.41,0.44
29691,0.69,0.72
29692,0.27,0.59
29693,0.16,0.53
29694,0.07,0.13
29695,0.41,0.49
29696,0.26,0.76
29697,0.08,0.16
29698,0.42,0.28
29699,0.27,0.56
29700,0.2,0.35
29701,0.2,0.21
29702,0.23,0.25
29703,0.49,0.64
29704,0.12,0.25
29705,0.28,0.72
29706,0.23,0.37
29707,0.27,0.35
29708,0.43,0.74
29709,0.21,0.22
29710,0.26,0.28
29711,0.07,0.23
29712,0.18,0.41
29713,0.37,0.4
29714,0.33,0.39
29715,0.08,0.83
29716,0.34,0.64
29717,0.24,0.16
29718,0.08,0.18
29719,0.43,0.76
29720,0.76,0.81
29721,0.07,0.19
29722,0.31,0.33
29723,0.11,0.14
29724,0.2,0.53
29725,0.2,0.56
29726,0.17,0.75
29727,0.51,0.62
29728,0.17,0.67
29729,0.08,0.23
29730,0.19,0.13
29731,0.23,0.22
29732,0.08,0.06
29733,0.13,0.7
29734,0.21,0.77
29735,0.32,0.6
29736,0.23,0.82
29737,0.16,0.78
29738,0.1,0.5
29739,0.33,0.33
29740,0.29,0.79
29741,0.54,0.58
29742,0.12,0.18
29743,0.15,0.29
29744,0.14,0.18
29745,0.17,0.42
29746,0.09,0.09
29747,0.21,0.4
29748,0.15,0.11
29749,0.19,0.51
29750,0.18,0.34
29751,0.13,0.21
29752,0.49,0.66
29753,0.32,0.61
29754,0.17,0.65
29755,0.21,0.18
29756,0.59,0.85
29757,0.39,0.65
29758,0.27,0.61
29759,0.17,0.17
29760,0.09,0.14
29761,0.36,0.69
29762,0.36,0.23
29763,0.22,0.31
29764,0.63,0.71
29765,0.14,0.16
29766,0.17,0.48
29767,0.2,0.26
29768,0.27,0.45
29769,0.43,0.62
29770,0.25,0.36
29771,0.62,0.77
29772,0.09,0.79
29773,0.24,0.79
29774,0.4,0.68
29775,0.33,0.78
29776,0.17,0.24
29777,0.17,0.42
29778,0.53,0.56
29779,0.15,0.19
29780,0.26,0.64
29781,0.27,0.42
29782,0.28,0.42
29783,0.45,0.59
29784,0.26,0.11
29785,0.37,0.82
29786,0.46,0.4
29787,0.34,0.61
29788,0.86,0.82
29789,0.47,0.46
29790,0.13,0.21
29791,0.39,0.45
29792,0.76,0.65
29793,0.1,0.4
29794,0.25,0.22
29795,0.25,0.3
29796,0.19,0.13
29797,0.47,0.55
29798,0.33,0.53
29799,0.24,0.22
29800,0.16,0.42
29801,0.61,0.74
29802,0.25,0.45
29803,0.29,0.5
29804,0.42,0.61
29805,0.27,0.4
29806,0.23,0.51
29807,0.7,0.72
29808,0.25,0.22
29809,0.03,0.13
29810,0.36,0.17
29811,0.22,0.41
29812,0.33,0.45
29813,0.19,0.35
29814,0.4,0.54
29815,0.43,0.74
29816,0.11,0.43
29817,0.2,0.23
29818,0.34,0.77
29819,0.25,0.56
29820,0.18,0.53
29821,0.23,0.22
29822,0.21,0.44
29823,0.33,0.59
29824,0.2,0.33
29825,0.3,0.56
29826,0.22,0.34
29827,0.12,0.73
29828,0.54,0.75
29829,0.17,0.31
29830,0.21,0.51
29831,0.27,0.59
29832,0.55,0.72
29833,0.5,0.68
29834,0.18,0.1
29835,0.46,0.65
29836,0.2,0.62
29837,0.18,0.11
29838,0.13,0.55
29839,0.34,0.31
29840,0.35,0.72
29841,0.43,0.54
29842,0.24,0.5
29843,0.55,0.74
29844,0.16,0.23
29845,0.31,0.49
29846,0.02,0.09
29847,0.2,0.19
29848,0.17,0.22
29849,0.15,0.62
29850,0.43,0.73
29851,0.23,0.33
29852,0.23,0.55
29853,0.19,0.25
29854,0.33,0.65
29855,0.38,0.64
29856,0.39,0.43
29857,0.25,0.44
29858,0.31,0.41
29859,0.59,0.77
29860,0.1,0.65
29861,0.18,0.66
29862,0.23,0.65
29863,0.18,0.68
29864,0.72,0.75
29865,0.1,0.22
29866,0.26,0.42
29867,0.25,0.51
29868,0.31,0.9
29869,0.65,0.78
29870,0.25,0.19
29871,0.24,0.62
29872,0.23,0.42
29873,0.22,0.2
29874,0.08,0.91
29875,0.4,0.78
29876,0.22,0.18
29877,0.24,0.46
29878,0.42,0.77
29879,0.27,0.52
29880,0.09,0.7
29881,0.33,0.71
29882,0.34,0.36
29883,0.38,0.42
29884,0.32,0.18
29885,0.07,0.83
29886,0.25,0.41
29887,0.49,0.5
29888,0.37,0.73
29889,0.16,0.19
29890,0.26,0.49
29891,0.16,0.58
29892,0.3,0.79
29893,0.36,0.83
29894,0.28,0.53
29895,0.16,0.34
29896,0.14,0.15
29897,0.13,0.28
29898,0.19,0.46
29899,0.09,0.83
29900,0.57,0.55
29901,0.43,0.71
29902,0.24,0.84
29903,0.21,0.71
29904,0.19,0.58
29905,0.4,0.61
29906,0.6,0.56
29907,0.16,0.73
29908,0.35,0.63
29909,0.12,0.56
29910,0.59,0.82
29911,0.28,0.23
29912,0.23,0.26
29913,0.42,0.48
29914,0.6,0.69
29915,0.3,0.26
29916,0.14,0.11
29917,0.23,0.4
29918,0.55,0.7
29919,0.17,0.21
29920,0.42,0.63
29921,0.36,0.36
29922,0.73,0.78
29923,0.22,0.32
29924,0.37,0.5
29925,0.11,0.23
29926,0.44,0.6
29927,0.47,0.69
29928,0.34,0.38
29929,0.11,0.47
29930,0.25,0.77
29931,0.55,0.46
29932,0.19,0.62
29933,0.26,0.66
29934,0.12,0.75
29935,0.79,0.93
29936,0.34,0.49
29937,0.35,0.54
29938,0.32,0.24
29939,0.38,0.7
29940,0.17,0.31
29941,0.39,0.37
29942,0.6,0.54
29943,0.12,0.26
29944,0.29,0.29
29945,0.37,0.6
29946,0.4,0.76
29947,0.2,0.18
29948,0.1,0.07
29949,0.33,0.48
29950,0.53,0.89
29951,0.18,0.51
29952,0.39,0.86
29953,0.19,0.8
29954,0.15,0.16
29955,0.3,0.33
29956,0.49,0.29
29957,0.19,0.48
29958,0.17,0.3
29959,0.24,0.15
29960,0.17,0.2
29961,0.15,0.65
29962,0.37,0.85
29963,0.27,0.43
29964,0.23,0.43
29965,0.19,0.26
29966,0.13,0.59
29967,0.17,0.73
29968,0.2,0.74
29969,0.56,0.55
29970,0.28,0.84
29971,0.18,0.19
29972,0.18,0.15
29973,0.26,0.26
29974,0.45,0.52
29975,0.35,0.69
29976,0.21,0.78
29977,0.22,0.23
29978,0.24,0.37
29979,0.05,0.76
29980,0.32,0.68
29981,0.24,0.62
29982,0.37,0.26
29983,0.25,0.35
29984,0.13,0.13
29985,0.27,0.75
29986,0.78,0.86
29987,0.2,0.12
29988,0.34,0.56
29989,0.12,0.27
29990,0.13,0.18
29991,0.06,0.15
29992,0.04,0.1
29993,0.06,0.13
29994,0.3,0.26
29995,0.21,0.4
29996,0.17,0.49
29997,0.38,0.66
29998,0.15,0.15
29999,0.48,0.56
30000,0.25,0.26
30001,0.21,0.28
30002,0.56,0.6
30003,0.54,0.85
30004,0.2,0.68
30005,0.47,0.55
30006,0.25,0.72
30007,0.29,0.43
30008,0.15,0.31
30009,0.32,0.52
30010,0.19,0.6
30011,0.1,0.5
30012,0.25,0.8
30013,0.16,0.11
30014,0.17,0.7
30015,0.25,0.42
30016,0.21,0.42
30017,0.39,0.73
30018,0.12,0.68
30019,0.33,0.66
30020,0.11,0.19
30021,0.34,0.53
30022,0.12,0.58
30023,0.3,0.62
30024,0.18,0.6
30025,0.16,0.15
30026,0.38,0.43
30027,0.13,0.15
30028,0.24,0.54
30029,0.16,0.22
30030,0.16,0.21
30031,0.11,0.23
30032,0.11,0.18
30033,0.17,0.22
30034,0.4,0.45
30035,0.13,0.24
30036,0.09,0.05
30037,0.33,0.71
30038,0.2,0.24
30039,0.29,0.56
30040,0.16,0.19
30041,0.13,0.22
30042,0.26,0.89
30043,0.44,0.52
30044,0.09,0.46
30045,0.3,0.45
30046,0.28,0.66
30047,0.37,0.54
30048,0.19,0.26
30049,0.12,0.62
30050,0.46,0.79
30051,0.17,0.26
30052,0.36,0.63
30053,0.29,0.38
30054,0.44,0.57
30055,0.39,0.48
30056,0.18,0.17
30057,0.37,0.19
30058,0.59,0.62
30059,0.16,0.15
30060,0.38,0.45
30061,0.24,0.76
30062,0.31,0.59
30063,0.28,0.27
30064,0.08,0.89
30065,0.36,0.39
30066,0.22,0.23
30067,0.19,0.47
30068,0.37,0.33
30069,0.12,0.06
30070,0.06,0.21
30071,0.75,0.75
30072,0.34,0.75
30073,0.18,0.68
30074,0.43,0.82
30075,0.21,0.38
30076,0.1,0.21
30077,0.18,0.74
30078,0.19,0.31
30079,0.28,0.47
30080,0.43,0.84
30081,0.6,0.86
30082,0.18,0.79
30083,0.25,0.65
30084,0.17,0.42
30085,0.16,0.17
30086,0.25,0.3
30087,0.33,0.34
30088,0.28,0.31
30089,0.18,0.35
30090,0.12,0.15
30091,0.72,0.86
30092,0.13,0.1
30093,0.38,0.59
30094,0.29,0.76
30095,0.25,0.29
30096,0.32,0.39
30097,0.5,0.7
30098,0.2,0.36
30099,0.11,0.18
30100,0.11,0.15
30101,0.15,0.09
30102,0.25,0.42
30103,0.32,0.37
30104,0.66,0.64
30105,0.11,0.32
30106,0.49,0.64
30107,0.49,0.77
30108,0.27,0.4
30109,0.18,0.21
30110,0.32,0.74
30111,0.25,0.74
30112,0.26,0.25
30113,0.21,0.7
30114,0.24,0.68
30115,0.64,0.88
30116,0.28,0.53
30117,0.26,0.27
30118,0.4,0.45
30119,0.26,0.36
30120,0.4,0.56
30121,0.24,0.61
30122,0.02,0.03
30123,0.39,0.25
30124,0.62,0.7
30125,0.22,0.46
30126,0.17,0.29
30127,0.3,0.56
30128,0.5,0.53
30129,0.42,0.8
30130,0.26,0.45
30131,0.13,0.53
30132,0.2,0.23
30133,0.04,0.02
30134,0.1,0.89
30135,0.26,0.3
30136,0.28,0.39
30137,0.16,0.34
30138,0.2,0.53
30139,0.39,0.67
30140,0.25,0.08
30141,0.19,0.38
30142,0.66,0.81
30143,0.23,0.5
30144,0.64,0.81
30145,0.09,0.34
30146,0.06,0.28
30147,0.12,0.71
30148,0.41,0.62
30149,0.15,0.24
30150,0.75,0.81
30151,0.74,0.93
30152,0.31,0.43
30153,0.13,0.82
30154,0.28,0.89
30155,0.51,0.61
30156,0.29,0.48
30157,0.45,0.33
30158,0.53,0.8
30159,0.23,0.2
30160,0.1,0.56
30161,0.21,0.3
30162,0.34,0.4
30163,0.19,0.18
30164,0.81,0.95
30165,0.18,0.37
30166,0.24,0.8
30167,0.13,0.2
30168,0.31,0.21
30169,0.08,0.09
30170,0.36,0.22
30171,0.13,0.15
30172,0.55,0.75
30173,0.27,0.61
30174,0.49,0.65
30175,0.36,0.5
30176,0.08,0.56
30177,0.25,0.7
30178,0.27,0.49
30179,0.09,0.22
30180,0.27,0.57
30181,0.24,0.9
30182,0.66,0.83
30183,0.64,0.79
30184,0.25,0.54
30185,0.3,0.76
30186,0.22,0.33
30187,0.33,0.59
30188,0.62,0.81
30189,0.08,0.11
30190,0.09,0.31
30191,0.3,0.53
30192,0.24,0.47
30193,0.24,0.54
30194,0.17,0.3
30195,0.24,0.58
30196,0.72,0.81
30197,0.18,0.55
30198,0.2,0.52
30199,0.14,0.13
30200,0.53,0.72
30201,0.26,0.15
30202,0.28,0.49
30203,0.75,0.72
30204,0.23,0.28
30205,0.14,0.15
30206,0.22,0.38
30207,0.5,0.69
30208,0.38,0.45
30209,0.15,0.12
30210,0.17,0.8
30211,0.22,0.17
30212,0.23,0.57
30213,0.23,0.7
30214,0.2,0.34
30215,0.23,0.33
30216,0.43,0.57
30217,0.87,0.72
30218,0.12,0.3
30219,0.14,0.63
30220,0.06,0.84
30221,0.22,0.19
30222,0.13,0.13
30223,0.62,0.59
30224,0.14,0.29
30225,0.12,0.19
30226,0.36,0.81
30227,0.27,0.68
30228,0.29,0.46
30229,0.27,0.53
30230,0.19,0.41
30231,0.16,0.62
30232,0.18,0.4
30233,0.21,0.34
30234,0.46,0.39
30235,0.39,0.4
30236,0.22,0.86
30237,0.28,0.7
30238,0.22,0.42
30239,0.47,0.55
30240,0.14,0.83
30241,0.3,0.75
30242,0.19,0.42
30243,0.39,0.44
30244,0.16,0.41
30245,0.13,0.41
30246,0.25,0.69
30247,0.22,0.42
30248,0.52,0.82
30249,0.61,0.95
30250,0.3,0.33
30251,0.1,0.75
30252,0.33,0.47
30253,0.28,0.75
30254,0.28,0.24
30255,0.26,0.3
30256,0.46,0.54
30257,0.17,0.75
30258,0.3,0.45
30259,0.16,0.2
30260,0.31,0.41
30261,0.16,0.75
30262,0.29,0.8
30263,0.39,0.15
30264,0.21,0.39
30265,0.3,0.21
30266,0.1,0.17
30267,0.07,0.13
30268,0.06,0.26
30269,0.14,0.78
30270,0.12,0.66
30271,0.16,0.81
30272,0.21,0.3
30273,0.44,0.33
30274,0.56,0.57
30275,0.13,0.39
30276,0.2,0.29
30277,0.15,0.56
30278,0.17,0.48
30279,0.29,0.68
30280,0.53,0.7
30281,0.05,0.12
30282,0.11,0.08
30283,0.2,0.35
30284,0.13,0.32
30285,0.1,0.61
30286,0.2,0.33
30287,0.29,0.37
30288,0.32,0.4
30289,0.25,0.24
30290,0.07,0.15
30291,0.15,0.18
30292,0.41,0.82
30293,0.36,0.41
30294,0.59,0.82
30295,0.12,0.21
30296,0.45,0.62
30297,0.1,0.15
30298,0.33,0.52
30299,0.25,0.47
30300,0.41,0.74
30301,0.24,0.47
30302,0.15,0.44
30303,0.63,0.5
30304,0.34,0.49
30305,0.16,0.81
30306,0.26,0.75
30307,0.75,0.85
30308,0.2,0.51
30309,0.31,0.63
30310,0.54,0.76
30311,0.11,0.11
30312,0.39,0.7
30313,0.29,0.51
30314,0.15,0.09
30315,0.1,0.26
30316,0.4,0.51
30317,0.17,0.57
30318,0.17,0.55
30319,0.18,0.75
30320,0.34,0.67
30321,0.11,0.11
30322,0.19,0.22
30323,0.42,0.5
30324,0.16,0.36
30325,0.17,0.11
30326,0.17,0.44
30327,0.23,0.81
30328,0.29,0.74
30329,0.04,0.06
30330,0.22,0.45
30331,0.22,0.68
30332,0.2,0.24
30333,0.2,0.32
30334,0.18,0.5
30335,0.33,0.62
30336,0.13,0.25
30337,0.7,0.84
30338,0.36,0.66
30339,0.47,0.64
30340,0.41,0.6
30341,0.22,0.31
30342,0.37,0.68
30343,0.17,0.59
30344,0.55,0.62
30345,0.28,0.33
30346,0.33,0.4
30347,0.3,0.52
30348,0.15,0.17
30349,0.36,0.7
30350,0.45,0.5
30351,0.15,0.22
30352,0.27,0.4
30353,0.37,0.32
30354,0.31,0.39
30355,0.25,0.18
30356,0.24,0.28
30357,0.23,0.17
30358,0.54,0.84
30359,0.2,0.27
30360,0.61,0.86
30361,0.28,0.52
30362,0.26,0.36
30363,0.33,0.43
30364,0.51,0.63
30365,0.33,0.52
30366,0.09,0.39
30367,0.63,0.9
30368,0.16,0.15
30369,0.17,0.15
30370,0.64,0.83
30371,0.18,0.22
30372,0.14,0.25
30373,0.22,0.37
30374,0.4,0.57
30375,0.17,0.4
30376,0.39,0.25
30377,0.18,0.23
30378,0.61,0.71
30379,0.59,0.81
30380,0.2,0.36
30381,0.28,0.22
30382,0.42,0.74
30383,0.38,0.44
30384,0.35,0.39
30385,0.32,0.46
30386,0.47,0.48
30387,0.34,0.76
30388,0.13,0.15
30389,0.32,0.44
30390,0.15,0.25
30391,0.86,0.9
30392,0.41,0.46
30393,0.18,0.25
30394,0.14,0.37
30395,0.18,0.22
30396,0.19,0.34
30397,0.31,0.39
30398,0.6,0.72
30399,0.23,0.32
30400,0.15,0.44
30401,0.17,0.53
30402,0.29,0.55
30403,0.24,0.61
30404,0.27,0.57
30405,0.17,0.11
30406,0.27,0.31
30407,0.15,0.13
30408,0.22,0.25
30409,0.41,0.6
30410,0.27,0.59
30411,0.46,0.7
30412,0.44,0.52
30413,0.19,0.26
30414,0.03,0.05
30415,0.31,0.72
30416,0.29,0.12
30417,0.16,0.37
30418,0.17,0.24
30419,0.22,0.35
30420,0.13,0.37
30421,0.53,0.41
30422,0.2,0.3
30423,0.18,0.6
30424,0.16,0.21
30425,0.75,0.83
30426,0.8,0.88
30427,0.61,0.69
30428,0.23,0.66
30429,0.25,0.49
30430,0.32,0.54
30431,0.16,0.23
30432,0.35,0.62
30433,0.28,0.22
30434,0.23,0.41
30435,0.18,0.19
30436,0.24,0.29
30437,0.74,0.86
30438,0.21,0.38
30439,0.28,0.43
30440,0.3,0.68
30441,0.46,0.65
30442,0.47,0.68
30443,0.3,0.49
30444,0.11,0.19
30445,0.18,0.61
30446,0.2,0.2
30447,0.09,0.59
30448,0.14,0.38
30449,0.31,0.43
30450,0.35,0.64
30451,0.26,0.37
30452,0.18,0.23
30453,0.3,0.35
30454,0.17,0.51
30455,0.41,0.44
30456,0.41,0.6
30457,0.09,0.22
30458,0.36,0.41
30459,0.26,0.36
30460,0.5,0.59
30461,0.23,0.58
30462,0.09,0.23
30463,0.41,0.21
30464,0.52,0.4
30465,0.22,0.65
30466,0.41,0.28
30467,0.17,0.2
30468,0.12,0.28
30469,0.29,0.21
30470,0.11,0.02
30471,0.42,0.62
30472,0.21,0.13
30473,0.27,0.3
30474,0.31,0.6
30475,0.14,0.12
30476,0.15,0.58
30477,0.19,0.46
30478,0.36,0.65
30479,0.8,0.85
30480,0.21,0.44
30481,0.22,0.49
30482,0.33,0.48
30483,0.11,0.24
30484,0.24,0.53
30485,0.22,0.62
30486,0.16,0.72
30487,0.43,0.79
30488,0.3,0.55
30489,0.26,0.5
30490,0.44,0.52
30491,0.37,0.44
30492,0.22,0.24
30493,0.2,0.52
30494,0.23,0.38
30495,0.21,0.46
30496,0.18,0.33
30497,0.18,0.69
30498,0.33,0.17
30499,0.47,0.82
30500,0.1,0.11
30501,0.26,0.74
30502,0.28,0.33
30503,0.49,0.39
30504,0.34,0.57
30505,0.34,0.4
30506,0.1,0.83
30507,0.47,0.38
30508,0.57,0.82
30509,0.25,0.56
30510,0.21,0.12
30511,0.41,0.39
30512,0.05,0.17
30513,0.16,0.19
30514,0.31,0.56
30515,0.31,0.51
30516,0.18,0.3
30517,0.31,0.24
30518,0.18,0.28
30519,0.5,0.67
30520,0.16,0.24
30521,0.03,0.09
30522,0.69,0.8
30523,0.4,0.79
30524,0.24,0.17
30525,0.77,0.83
30526,0.29,0.34
30527,0.44,0.17
30528,0.23,0.59
30529,0.41,0.61
30530,0.2,0.67
30531,0.33,0.72
30532,0.13,0.25
30533,0.34,0.33
30534,0.48,0.81
30535,0.07,0.09
30536,0.75,0.85
30537,0.14,0.69
30538,0.16,0.28
30539,0.25,0.78
30540,0.37,0.6
30541,0.64,0.71
30542,0.4,0.46
30543,0.69,0.84
30544,0.09,0.11
30545,0.21,0.26
30546,0.29,0.76
30547,0.15,0.75
30548,0.11,0.72
30549,0.28,0.59
30550,0.32,0.35
30551,0.11,0.54
30552,0.14,0.76
30553,0.34,0.34
30554,0.13,0.26
30555,0.05,0.03
30556,0.21,0.35
30557,0.44,0.74
30558,0.17,0.87
30559,0.3,0.6
30560,0.16,0.23
30561,0.27,0.47
30562,0.21,0.28
30563,0.39,0.76
30564,0.18,0.73
30565,0.11,0.11
30566,0.32,0.48
30567,0.37,0.63
30568,0.57,0.65
30569,0.12,0.23
30570,0.21,0.46
30571,0.19,0.83
30572,0.22,0.51
30573,0.16,0.32
30574,0.12,0.16
30575,0.22,0.37
30576,0.16,0.2
30577,0.2,0.41
30578,0.19,0.28
30579,0.43,0.49
30580,0.08,0.17
30581,0.19,0.7
30582,0.31,0.3
30583,0.2,0.33
30584,0.26,0.27
30585,0.19,0.86
30586,0.32,0.42
30587,0.44,0.65
30588,0.21,0.46
30589,0.32,0.31
30590,0.31,0.37
30591,0.17,0.46
30592,0.53,0.73
30593,0.17,0.13
30594,0.14,0.37
30595,0.26,0.16
30596,0.16,0.85
30597,0.19,0.25
30598,0.23,0.36
30599,0.22,0.1
30600,0.36,0.52
30601,0.4,0.64
30602,0.17,0.55
30603,0.17,0.26
30604,0.19,0.24
30605,0.15,0.43
30606,0.17,0.13
30607,0.24,0.61
30608,0.11,0.14
30609,0.55,0.76
30610,0.25,0.34
30611,0.16,0.11
30612,0.09,0.08
30613,0.48,0.71
30614,0.44,0.75
30615,0.22,0.33
30616,0.12,0.16
30617,0.32,0.35
30618,0.27,0.64
30619,0.09,0.05
30620,0.38,0.71
30621,0.17,0.39
30622,0.27,0.2
30623,0.3,0.87
30624,0.34,0.71
30625,0.25,0.65
30626,0.08,0.74
30627,0.56,0.41
30628,0.25,0.51
30629,0.18,0.5
30630,0.15,0.36
30631,0.16,0.6
30632,0.31,0.28
30633,0.47,0.82
30634,0.18,0.12
30635,0.23,0.2
30636,0.54,0.46
30637,0.23,0.3
30638,0.23,0.53
30639,0.37,0.63
30640,0.31,0.39
30641,0.17,0.56
30642,0.14,0.27
30643,0.54,0.75
30644,0.25,0.11
30645,0.23,0.21
30646,0.26,0.6
30647,0.64,0.78
30648,0.19,0.68
30649,0.22,0.57
30650,0.05,0.07
30651,0.13,0.78
30652,0.18,0.57
30653,0.44,0.35
30654,0.09,0.64
30655,0.25,0.39
30656,0.08,0.13
30657,0.1,0.3
30658,0.18,0.18
30659,0.4,0.6
30660,0.24,0.26
30661,0.22,0.8
30662,0.2,0.18
30663,0.12,0.56
30664,0.27,0.5
30665,0.21,0.23
30666,0.34,0.3
30667,0.27,0.78
30668,0.23,0.38
30669,0.25,0.32
30670,0.17,0.49
30671,0.26,0.36
30672,0.3,0.63
30673,0.29,0.62
30674,0.18,0.51
30675,0.11,0.35
30676,0.25,0.23
30677,0.28,0.33
30678,0.62,0.91
30679,0.18,0.6
30680,0.6,0.7
30681,0.29,0.4
30682,0.25,0.3
30683,0.35,0.49
30684,0.19,0.24
30685,0.19,0.35
30686,0.55,0.51
30687,0.25,0.22
30688,0.25,0.48
30689,0.19,0.45
30690,0.15,0.68
30691,0.18,0.47
30692,0.41,0.82
30693,0.16,0.18
30694,0.25,0.46
30695,0.48,0.75
30696,0.45,0.41
30697,0.12,0.28
30698,0.14,0.17
30699,0.24,0.26
30700,0.41,0.53
30701,0.33,0.6
30702,0.13,0.85
30703,0.12,0.78
30704,0.49,0.47
30705,0.12,0.22
30706,0.22,0.34
30707,0.34,0.4
30708,0.28,0.27
30709,0.46,0.78
30710,0.73,0.89
30711,0.11,0.33
30712,0.1,0.22
30713,0.66,0.83
30714,0.58,0.64
30715,0.21,0.47
30716,0.22,0.73
30717,0.33,0.48
30718,0.28,0.52
30719,0.13,0.24
30720,0.24,0.21
30721,0.32,0.19
30722,0.08,0.05
30723,0.26,0.76
30724,0.16,0.79
30725,0.11,0.82
30726,0.27,0.29
30727,0.52,0.82
30728,0.68,0.86
30729,0.24,0.14
30730,0.16,0.67
30731,0.76,0.89
30732,0.46,0.49
30733,0.42,0.81
30734,0.27,0.57
30735,0.23,0.77
30736,0.62,0.74
30737,0.17,0.09
30738,0.3,0.22
30739,0.22,0.45
30740,0.17,0.23
30741,0.28,0.4
30742,0.07,0.09
30743,0.06,0.44
30744,0.24,0.32
30745,0.15,0.76
30746,0.32,0.44
30747,0.32,0.24
30748,0.21,0.49
30749,0.28,0.17
30750,0.12,0.13
30751,0.23,0.39
30752,0.34,0.48
30753,0.28,0.77
30754,0.35,0.69
30755,0.18,0.42
30756,0.16,0.56
30757,0.18,0.73
30758,0.15,0.4
30759,0.16,0.75
30760,0.28,0.49
30761,0.71,0.76
30762,0.34,0.48
30763,0.45,0.43
30764,0.3,0.22
30765,0.58,0.7
30766,0.29,0.4
30767,0.25,0.5
30768,0.14,0.24
30769,0.36,0.67
30770,0.2,0.14
30771,0.14,0.68
30772,0.25,0.75
30773,0.12,0.19
30774,0.3,0.35
30775,0.21,0.25
30776,0.09,0.21
30777,0.25,0.4
30778,0.48,0.67
30779,0.36,0.64
30780,0.14,0.18
30781,0.05,0.07
30782,0.33,0.58
30783,0.18,0.22
30784,0.3,0.48
30785,0.59,0.67
30786,0.12,0.26
30787,0.52,0.69
30788,0.31,0.42
30789,0.2,0.43
30790,0.26,0.32
30791,0.22,0.51
30792,0.43,0.69
30793,0.18,0.36
30794,0.08,0.1
30795,0.17,0.33
30796,0.76,0.8
30797,0.1,0.12
30798,0.23,0.17
30799,0.21,0.38
30800,0.63,0.65
30801,0.19,0.11
30802,0.22,0.49
30803,0.21,0.41
30804,0.41,0.76
30805,0.13,0.44
30806,0.23,0.4
30807,0.25,0.35
30808,0.08,0.19
30809,0.19,0.54
30810,0.56,0.55
30811,0.49,0.77
30812,0.09,0.03
30813,0.12,0.42
30814,0.67,0.86
30815,0.23,0.81
30816,0.3,0.33
30817,0.27,0.8
30818,0.08,0.84
30819,0.13,0.73
30820,0.18,0.12
30821,0.27,0.54
30822,0.17,0.57
30823,0.16,0.23
30824,0.58,0.73
30825,0.22,0.42
30826,0.32,0.52
30827,0.46,0.4
30828,0.14,0.09
30829,0.28,0.18
30830,0.33,0.48
30831,0.27,0.52
30832,0.17,0.16
30833,0.21,0.35
30834,0.34,0.41
30835,0.45,0.66
30836,0.08,0.16
30837,0.22,0.33
30838,0.23,0.65
30839,0.29,0.42
30840,0.23,0.53
30841,0.11,0.24
30842,0.13,0.65
30843,0.13,0.36
30844,0.24,0.35
30845,0.23,0.26
30846,0.1,0.23
30847,0.11,0.28
30848,0.15,0.23
30849,0.07,0.19
30850,0.27,0.55
30851,0.24,0.31
30852,0.1,0.14
30853,0.2,0.21
30854,0.29,0.49
30855,0.21,0.62
30856,0.11,0.28
30857,0.21,0.25
30858,0.34,0.52
30859,0.23,0.43
30860,0.25,0.58
30861,0.51,0.47
30862,0.45,0.81
30863,0.08,0.58
30864,0.25,0.21
30865,0.22,0.26
30866,0.05,0.09
30867,0.53,0.75
30868,0.24,0.63
30869,0.27,0.45
30870,0.22,0.56
30871,0.28,0.27
30872,0.04,0.09
30873,0.71,0.76
30874,0.24,0.2
30875,0.09,0.14
30876,0.28,0.23
30877,0.32,0.74
30878,0.21,0.37
30879,0.29,0.37
30880,0.14,0.39
30881,0.22,0.76
30882,0.17,0.26
30883,0.1,0.17
30884,0.12,0.74
30885,0.28,0.44
30886,0.19,0.83
30887,0.09,0.26
